days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,3/01/19,Black Desert Online,"16,014,960",688020,5860,227,2030,3707,159,23.28,3885,359001
3d,3/01/19,ASMR,"15,300,120",231360,10028,70,322,3541,53,66.13,4310,141148
3d,3/01/19,Hearts of Iron IV,"14,805,180",118980,7449,109,458,3427,27,124.43,2168,185198
3d,3/01/19,Destiny 2,"14,195,760",1288560,11159,529,5483,3286,298,11.02,6228,300700
3d,3/01/19,The Elder Scrolls Online,"13,266,900",385740,17412,149,1390,3071,89,34.39,2641,346996
3d,3/01/19,Smite,"13,011,000",691500,8139,281,3115,3011,160,18.82,3578,200831
3d,3/01/19,Metro Exodus,"12,748,380",937080,8202,448,4236,2951,216,13.6,2917,352008
3d,3/01/19,NBA 2K19,"12,199,080",1215480,8500,589,6539,2823,281,10.04,9602,114236
3d,3/01/19,Tetris 99,"11,917,260",104640,19645,49,863,2758,24,113.89,2338,251126
3d,3/01/19,Dark Souls III,"11,574,060",558600,12068,202,2435,2679,129,20.72,2573,335069
3d,3/01/19,Heroes of Might and Magic III: The Shadow of Death,"11,482,980",65040,13294,40,186,2658,15,176.55,1429,240136
3d,3/01/19,ATLAS,"11,441,640",268560,7025,97,633,2648,62,42.6,1509,131523
3d,3/03/19,Fortnite,"750,000,000",52508460,350912,22269,232608,173686,12154,14.29,618186,13219432
3d,3/03/19,Counter-Strike: Global Offensive,"655,000,000",4764240,833440,2047,26551,151646,1102,137.51,180632,13983495
3d,3/03/19,League of Legends,"558,000,000",11439840,265546,3580,44988,129241,2648,48.81,161523,12865151
3d,3/03/19,Apex Legends,"521,000,000",29231640,205123,10481,136176,120533,6766,17.81,202444,10263077
3d,3/03/19,Just Chatting,"355,000,000",5115120,164016,1656,31924,82111,1184,69.35,176333,10780581
3d,3/03/19,Dota 2,"268,000,000",3442020,116041,1387,11954,62152,796,78.01,48232,5741630
3d,3/03/19,Overwatch,"245,000,000",4900020,185198,1715,24883,56745,1134,50.03,48390,3644436
3d,3/03/19,Hearthstone,"138,000,000",790680,64314,258,3641,31923,183,174.42,20033,2859716
3d,3/03/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"107,000,000",4655760,52021,1445,17433,24672,1077,22.89,58316,2877470
3d,3/03/19,StarCraft II,"102,000,000",397020,69118,146,1547,23671,91,257.57,20012,3228329
3d,3/03/19,Grand Theft Auto V,"83,406,900",2412720,47798,1131,9974,19307,558,34.57,39469,1502510
3d,3/03/19,World of Warcraft,"76,482,960",4232940,42037,2348,14447,17704,979,18.07,19428,2146738
3d,3/03/19,Call of Duty: Black Ops 4,"72,688,380",5123340,76053,2205,23002,16826,1185,14.19,29557,1473829
3d,3/03/19,Tom Clancy's The Division 2,"62,274,660",2209200,129461,1335,12094,14415,511,28.19,14882,1997536
3d,3/03/19,FIFA 19,"60,844,320",1707420,48426,797,9890,14084,395,35.64,24727,1083788
3d,3/03/19,Dead by Daylight,"45,518,700",2175840,31416,725,9518,10536,503,20.92,15258,738034
3d,3/03/19,Sea of Thieves,"41,247,360",1062540,34927,448,3999,9548,245,38.82,7986,424030
3d,3/03/19,Old School RuneScape,"39,653,400",712020,26818,271,2640,9179,164,55.69,12824,525672
3d,3/03/19,Tom Clancy's Rainbow Six: Siege,"39,588,480",4190220,37531,1714,23825,9164,969,9.45,33061,744109
3d,3/03/19,Minecraft,"39,322,680",2160540,38962,921,10502,9102,500,18.2,22140,755628
3d,3/03/19,Anthem,"34,858,680",2531520,21191,1022,10525,8069,586,13.77,10623,774387
3d,3/03/19,Always On,"31,976,220",58320,12967,16,19,7401,13,548.29,5123,1575398
3d,3/03/19,Magic: The Gathering,"31,342,440",523320,26252,191,2225,7255,121,59.89,9192,506291
3d,3/03/19,Warcraft III: The Frozen Throne,"29,907,840",225720,31479,90,676,6923,52,132.5,2646,480555
3d,3/03/19,Music & Performing Arts,"28,452,420",1346100,11154,403,3408,6586,311,21.14,11959,505942
