days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,3/29/19,StarCraft II,21366420,365400,11632,132,1501,4945,84,58.47,3825,384565
3d,3/29/19,Art,21319140,1645620,10762,593,6923,4934,380,12.96,13530,516559
3d,3/29/19,Mortal Kombat 11,18844380,224760,54538,201,1249,4362,52,83.84,8735,358979
3d,3/29/19,The Walking Dead - The Final Season,18248580,223080,24728,174,1929,4224,51,81.8,2617,360377
3d,3/29/19,Destiny 2,17595720,1720560,9202,814,6696,4073,398,10.23,7046,204430
3d,3/29/19,Super Smash Bros. Ultimate,17458140,568020,11473,315,2652,4041,131,30.74,9227,270330
3d,3/29/19,World of Tanks,16467600,605100,12563,283,2253,3811,140,27.21,3701,286351
3d,3/29/19,Rocket League,16385220,1357560,24467,525,11086,3792,314,12.07,10414,447210
3d,3/29/19,Escape From Tarkov,16351920,811020,13372,297,2530,3785,187,20.16,6384,296868
3d,3/29/19,Borderlands 2,16224000,289380,93933,235,1588,3755,66,56.06,3907,162398
3d,3/29/19,ASMR,15803220,233760,6478,73,320,3658,54,67.6,4283,131453
3d,3/29/19,Warcraft III: The Frozen Throne,14633820,241320,8815,93,664,3387,55,60.64,1625,313311
3d,3/29/19,Heroes of the Storm,13716480,502200,6828,184,1747,3175,116,27.31,2066,244846
3d,3/29/19,Black Desert Online,13553460,729840,4901,247,2265,3137,168,18.57,4310,295086
3d,3/29/19,Generation Zero,13018980,557700,24289,368,2473,3013,129,23.34,2498,462849
3d,3/29/19,Games + Demos,12775620,208380,21962,80,1121,2957,48,61.31,1188,282653
3d,3/29/19,Special Events,12281280,94140,48781,53,301,2842,21,130.46,4826,436433
3d,3/29/19,Tibia,11436660,412860,4975,160,1223,2647,95,27.7,6798,317019
3d,3/29/19,Grim Dawn,10170480,189780,12774,161,597,2354,43,53.59,1547,152617
3d,3/29/19,NBA 2K19,10094640,1261200,5984,686,6865,2336,291,8,9409,79249
3d,4/01/19,League of Legends,725108820,11675520,348415,3689,44041,167849,2702,62.11,166765,14982096
3d,4/01/19,Fortnite,636539760,57651420,392338,23473,239561,147347,13345,11.04,611600,11147168
3d,4/01/19,Grand Theft Auto V,536688660,4216140,249827,1593,15368,124233,975,127.29,248621,8197557
3d,4/01/19,Just Chatting,366030360,5393940,196456,1776,32039,84729,1248,67.86,208342,10184183
3d,4/01/19,Dota 2,243540420,3001800,157890,1294,10299,56375,694,81.13,60146,5043161
3d,4/01/19,Apex Legends,233637180,16682880,130666,5765,78594,54082,3861,14,131594,5485187
3d,4/01/19,Counter-Strike: Global Offensive,231014580,5695920,158164,2364,29721,53475,1318,40.56,115296,6019683
3d,4/01/19,Sekiro: Shadows Die Twice,216106860,5664480,102925,1819,28729,50024,1311,38.15,32332,4784497
3d,4/01/19,PLAYERUNKNOWN'S BATTLEGROUNDS,134958120,5516880,86103,1730,19421,31240,1277,24.46,75280,5579742
3d,4/01/19,Magic: The Gathering,132108780,489600,155987,167,1896,30580,113,269.83,13776,3175454
3d,4/01/19,World of Warcraft,118753020,3828480,83100,1968,12840,27489,886,31.02,30188,2904611
3d,4/01/19,FIFA 19,92684340,1834080,96375,902,9572,21454,424,50.53,31405,5479689
3d,4/01/19,Auto Chess,89490180,902940,41428,294,3247,20715,209,99.11,16091,1461924
3d,4/01/19,Hearthstone,87799260,786660,38052,274,3606,20323,182,111.61,12693,1921235
3d,4/01/19,Overwatch,77308920,4678080,33567,1602,22969,17895,1082,16.53,38331,1500535
3d,4/01/19,Special Events,66813660,124320,86771,47,479,15466,28,537.43,14585,3895930
3d,4/01/19,Old School RuneScape,62937360,694380,83930,246,2499,14568,160,90.64,27555,914693
3d,4/01/19,Risk of Rain 2,52678140,2322780,28085,871,9386,12194,537,22.68,6258,921640
3d,4/01/19,Tom Clancy's Rainbow Six: Siege,46470240,4798800,26895,1744,25789,10757,1110,9.68,32449,1103478
3d,4/01/19,Dead by Daylight,45666420,2267280,23075,762,9937,10570,524,20.14,14534,1106996
3d,4/01/19,Tropico 6,39896400,321000,30684,160,1121,9235,74,124.29,3175,774754
3d,4/01/19,Path of Exile,39526500,1562340,22335,496,4673,9149,361,25.3,5281,613056
3d,4/01/19,Tom Clancy's The Division 2,37993020,3757080,14527,1302,17200,8794,869,10.11,10279,636646
3d,4/01/19,Outward,36742020,635400,24895,220,2015,8505,147,57.83,4870,602766
3d,4/01/19,Call of Duty: Black Ops 4,36614700,5349660,32960,2102,22315,8475,1238,6.84,22916,442125
3d,4/01/19,Battlefield V,34121460,1594140,22184,634,12247,7898,369,21.4,12602,756409
3d,4/01/19,Music & Performing Arts,32623260,1470060,13703,447,3455,7551,340,22.19,29176,446571
3d,4/01/19,Minecraft,31991760,2549220,31581,995,12026,7405,590,12.55,30652,666556
3d,4/01/19,Street Fighter V,31444620,169380,50356,62,758,7278,39,185.65,2208,663822
3d,4/01/19,Mortal Kombat 11,29725560,233280,31337,131,1156,6880,54,127.42,10114,658551
3d,4/01/19,Rocket League,29214360,1534320,37946,575,12292,6762,355,19.04,19220,552583
3d,4/01/19,Art,28067280,1557240,13166,534,6910,6497,360,18.02,16331,632835
3d,4/01/19,Slots,27889980,232260,23507,95,577,6456,53,120.08,3775,203196
3d,4/01/19,Talk Shows & Podcasts,26502240,476220,29460,178,2533,6134,110,55.65,5053,1279770
3d,4/01/19,MLB The Show 19,25813020,306360,18044,151,2631,5975,70,84.26,9189,259257
3d,4/01/19,Super Smash Bros. Ultimate,24487620,694200,32812,353,3036,5668,160,35.27,13575,750078
3d,4/01/19,Poker,23716620,370020,17208,209,977,5489,85,64.1,6798,484240
3d,4/01/19,StarCraft II,23329620,421080,12825,144,1720,5400,97,55.4,4261,518414
3d,4/01/19,Satisfactory,21682620,944820,36074,379,3148,5019,218,22.95,6254,423796
3d,4/01/19,World of Tanks,20995860,776340,15803,366,2818,4860,179,27.04,6144,511001
3d,4/01/19,Uno,19190280,69900,121632,46,786,4442,16,274.54,16263,378221
3d,4/01/19,ASMR,16832820,219060,8282,69,328,3896,50,76.84,4827,186233
3d,4/01/19,Destiny 2,16327680,1866120,6218,741,7121,3779,431,8.75,8050,221240
3d,4/01/19,Escape From Tarkov,16327560,970200,17436,357,2813,3779,224,16.83,7616,299821
3d,4/01/19,Black Desert Online,16029840,806940,5354,247,2364,3710,186,19.86,9702,415301
3d,4/01/19,Games + Demos,15012180,252060,21423,96,1211,3475,58,59.56,1721,311734
3d,4/01/19,Warcraft III: The Frozen Throne,14695500,249240,9583,91,717,3401,57,58.96,1567,257288
3d,4/01/19,Heroes of the Storm,14662200,546060,13775,190,1903,3394,126,26.85,1703,404545
3d,4/01/19,NBA 2K19,11571240,1509780,6536,633,7629,2678,349,7.66,12674,90843
3d,4/01/19,Science & Technology,11523960,453060,10200,172,1271,2667,104,25.44,2184,302605
3d,4/02/19,League of Legends,674852640,11519160,348415,3536,44022,156215,2666,58.59,163395,14557004
3d,4/02/19,Fortnite,660296220,55112880,392338,23473,237406,152846,12757,11.98,626507,11543973
3d,4/02/19,Grand Theft Auto V,528403020,4161360,231111,1593,15237,122315,963,126.98,240813,8244798
3d,4/02/19,Just Chatting,368220360,5301840,196456,1725,31708,85236,1227,69.45,261964,10303016
3d,4/02/19,Counter-Strike: Global Offensive,280775520,5486940,158164,2322,29097,64994,1270,51.17,113928,6705525
3d,4/02/19,Apex Legends,224912340,15853380,109507,5419,76083,52063,3669,14.19,126996,5363402
3d,4/02/19,Dota 2,223545180,2974920,147438,1294,10173,51746,688,75.14,59405,4641253
3d,4/02/19,Sekiro: Shadows Die Twice,189770820,5164440,100535,1749,27108,43928,1195,36.75,101314,4397291
3d,4/02/19,PLAYERUNKNOWN'S BATTLEGROUNDS,125485620,5375520,86103,1730,19243,29047,1244,23.34,72369,5146804
3d,4/02/19,World of Warcraft,123007860,3738780,83100,1968,12749,28474,865,32.9,30496,3032068
3d,4/02/19,Magic: The Gathering,109258080,512460,155987,180,2113,25291,118,213.2,13491,2624489
3d,4/02/19,Hearthstone,92487120,785040,38052,271,3603,21409,181,117.81,13108,2006493
3d,4/02/19,Overwatch,90539760,4598280,33567,1602,22985,20958,1064,19.69,38343,1597561
3d,4/02/19,Auto Chess,87602460,929040,38175,331,3358,20278,215,94.29,15759,1502743
3d,4/02/19,FIFA 19,70672920,1671240,70635,884,9089,16359,386,42.29,25063,1740745
3d,4/02/19,Old School RuneScape,60950520,692640,83930,246,2452,14108,160,88,29741,905966
3d,4/02/19,Special Events,60704340,111240,86771,47,453,14051,25,545.71,13264,3652564
3d,4/02/19,Tom Clancy's Rainbow Six: Siege,48997860,4882080,24366,1744,27244,11342,1130,10.04,34126,1163584
3d,4/02/19,Risk of Rain 2,48865620,2276160,28085,871,9546,11311,526,21.47,5857,869076
3d,4/02/19,Dead by Daylight,44996280,2226060,23075,762,9874,10415,515,20.21,14176,1126436
3d,4/02/19,Tropico 6,44617620,363840,30684,140,1235,10328,84,122.63,3626,915009
3d,4/02/19,Call of Duty: Black Ops 4,42473340,5331180,60162,2102,22424,9831,1234,7.97,21838,455758
3d,4/02/19,Path of Exile,40187700,1514520,22335,496,4554,9302,350,26.53,5184,645465
3d,4/02/19,Outward,35169000,621360,24895,220,2019,8140,143,56.6,4604,567406
3d,4/02/19,Tom Clancy's The Division 2,35052420,3559920,13355,1302,16699,8113,824,9.85,10502,612952
3d,4/02/19,Minecraft,32759160,2513160,31581,995,11952,7583,581,13.04,26879,704141
3d,4/02/19,Battlefield V,32497740,1461720,36602,589,11504,7522,338,22.23,11585,675502
3d,4/02/19,Street Fighter V,32182800,176040,50356,64,761,7449,40,182.82,2156,663845
3d,4/02/19,Music & Performing Arts,31699440,1430160,13832,430,3355,7337,331,22.16,23201,449561
3d,4/02/19,Art,30303420,1535520,13166,533,6747,7014,355,19.73,17974,610648
3d,4/02/19,Rocket League,29865780,1485480,37946,569,12090,6913,343,20.11,19008,561441
3d,4/02/19,MLB The Show 19,28266720,291720,18044,124,2636,6543,67,96.9,6977,265519
3d,4/02/19,Super Smash Bros. Ultimate,27472620,655020,32812,353,2985,6359,151,41.94,10415,733690
3d,4/02/19,Talk Shows & Podcasts,26185920,463740,26212,178,2476,6061,107,56.47,4827,930445
3d,4/02/19,Slots,25927860,229560,16834,90,573,6001,53,112.95,3669,212236
3d,4/02/19,StarCraft II,23068020,409980,12825,144,1708,5339,94,56.27,4121,531412
3d,4/02/19,Satisfactory,22235220,881760,36074,360,3011,5147,204,25.22,6616,593569
3d,4/02/19,Poker,21965100,363900,17208,209,980,5084,84,60.36,5893,515550
3d,4/02/19,Mortal Kombat 11,19551120,162300,18319,101,828,4525,37,120.46,6946,428935
3d,4/02/19,ASMR,19086960,228960,22549,68,341,4418,53,83.36,5696,371737
3d,4/02/19,World of Tanks,18110760,726540,15803,322,2704,4192,168,24.93,5573,502114
3d,4/02/19,Destiny 2,17043900,1782600,6218,741,6864,3945,412,9.56,7648,221134
3d,4/02/19,Black Desert Online,15571020,783480,5242,243,2324,3604,181,19.87,6316,383012
3d,4/02/19,Heroes of the Storm,15196380,524460,13775,176,1892,3517,121,28.98,1656,463809
3d,4/02/19,Warcraft III: The Frozen Throne,14502900,254640,9583,95,698,3357,58,56.95,1493,203919
3d,4/02/19,Escape From Tarkov,13504020,957780,5975,357,2852,3125,221,14.1,5278,248469
3d,4/02/19,The Elder Scrolls Online,12780840,545940,22789,205,2074,2958,126,23.41,2690,330038
3d,4/02/19,Arma 3,12657900,404100,12084,303,1492,2930,93,31.32,4768,224250
3d,4/02/19,NBA 2K19,11372820,1483080,6536,633,7617,2632,343,7.67,12251,91373
3d,4/02/19,Yoshi's Crafted World,11368980,214800,8002,131,1007,2631,49,52.93,1637,290092
3d,4/04/19,Grand Theft Auto V,566133840,3745440,243928,1567,13896,131049,867,151.15,232475,7706311
3d,4/04/19,Fortnite,566133600,39297840,308496,16586,191866,131049,9096,14.41,469583,8367459
3d,4/04/19,League of Legends,498175680,10978560,260581,3653,42778,115318,2541,45.38,156151,10804759
3d,4/04/19,Just Chatting,343722480,4984200,175263,1705,30209,79565,1153,68.96,249798,7850844
3d,4/04/19,Counter-Strike: Global Offensive,264143700,4747020,204347,2169,25985,61144,1098,55.64,90944,5746933
3d,4/04/19,Apex Legends,241468500,13476840,170913,5000,68959,55895,3119,17.92,105527,6099241
3d,4/04/19,Dota 2,166190400,2712060,93022,1044,9546,38470,627,61.28,44707,2902191
3d,4/04/19,Sekiro: Shadows Die Twice,152889840,4115760,88062,1456,22960,35391,952,37.15,97536,3071514
3d,4/04/19,PLAYERUNKNOWN'S BATTLEGROUNDS,103286460,4667880,50674,1728,17859,23908,1080,22.13,50327,2233451
3d,4/04/19,Hearthstone,96160680,809100,105519,293,3643,22259,187,118.85,12298,1780199
3d,4/04/19,Overwatch,87647280,4246080,32760,1517,21647,20288,982,20.64,30135,1749034
3d,4/04/19,Auto Chess,76424760,941400,34352,331,3376,17690,217,81.18,9690,1199118
3d,4/04/19,World of Warcraft,73000920,3943980,29661,2455,13936,16898,912,18.51,18338,1692218
3d,4/04/19,Call of Duty: Black Ops 4,69973260,4858200,72152,2218,22275,16197,1124,14.4,26669,829941
3d,4/04/19,Tom Clancy's Rainbow Six: Siege,55912860,4420920,45739,1770,26757,12942,1023,12.65,34081,1319383
3d,4/04/19,Dead by Daylight,52183260,2306760,42579,914,10215,12079,533,22.62,15089,739993
3d,4/04/19,FIFA 19,43407060,1245780,33774,690,7634,10047,288,34.84,17207,512896
3d,4/04/19,Magic: The Gathering,41985900,560160,19434,206,2400,9718,129,74.95,9718,892810
3d,4/04/19,Path of Exile,40291380,1359480,25487,461,4106,9326,314,29.64,5583,713894
3d,4/04/19,Old School RuneScape,37396440,688680,21712,241,2421,8656,159,54.3,12848,436319
3d,4/04/19,Music & Performing Arts,36586920,1351080,18195,394,3139,8469,312,27.08,20490,580555
3d,4/04/19,Risk of Rain 2,35706540,1761120,38696,766,8327,8265,407,20.27,5997,741081
3d,4/04/19,Borderlands,31528080,409800,30059,810,2474,7298,94,76.94,8626,433103
3d,4/04/19,Tom Clancy's The Division 2,30451800,2803020,13355,963,14368,7049,648,10.86,10348,575435
3d,4/04/19,Talk Shows & Podcasts,29794020,423960,29850,157,2166,6896,98,70.28,6822,1081457
3d,4/04/19,Tropico 6,29265840,319920,19312,132,1156,6774,74,91.48,2432,621862
3d,4/04/19,Battlefield V,27180660,1154340,40641,508,9591,6291,267,23.55,8321,567374
3d,4/04/19,Slots,26316600,215880,23137,85,538,6091,49,121.9,3488,183799
3d,4/04/19,Minecraft,26201520,2006340,34213,718,10057,6065,464,13.06,18306,477824
3d,4/04/19,Outward,25004460,580860,18774,212,1967,5788,134,43.05,3709,474082
3d,4/04/19,StarCraft II,23211000,381720,11699,139,1574,5372,88,60.81,4197,687993
3d,4/04/19,MLB The Show 19,23135760,268440,17406,116,2385,5355,62,86.19,5862,196937
3d,4/04/19,Art,22746000,1631280,9625,562,6928,5265,377,13.94,13664,423205
3d,4/04/19,Poker,21127920,317820,18436,135,977,4890,73,66.48,6106,458643
3d,4/04/19,ASMR,19246140,229980,22549,71,339,4455,53,83.69,14196,343699
3d,4/04/19,Destiny 2,18411780,1554540,7496,617,6264,4261,359,11.84,7521,260024
3d,4/04/19,Super Smash Bros. Ultimate,18080340,515880,20776,287,2563,4185,119,35.05,7292,222308
3d,4/04/19,Special Events,18028020,61500,14456,27,304,4173,14,293.14,5500,1087825
3d,4/04/19,Satisfactory,17819400,676140,16088,316,2538,4124,156,26.35,4373,494457
3d,4/04/19,World of Tanks,15860340,644460,10806,325,2432,3671,149,24.61,3746,371096
3d,4/04/19,Escape From Tarkov,15425340,894660,14947,367,2865,3570,207,17.24,5475,308224
3d,4/04/19,Black Desert Online,14605260,726480,5975,241,2268,3380,168,20.1,4925,340696
3d,4/04/19,NBA 2K19,14302980,1186860,33120,590,6737,3310,274,12.05,10561,733276
3d,4/04/19,Rocket League,13450860,1371600,10812,515,11347,3113,317,9.81,10958,240230
3d,4/04/19,Warcraft III: The Frozen Throne,13045620,235260,8762,96,679,3019,54,55.45,1460,250255
3d,4/04/19,The Elder Scrolls Online,12711240,512100,22789,188,1980,2942,118,24.82,2349,319614
3d,4/04/19,Miracle Snack Shop,12645600,40140,30789,43,222,2927,9,315.04,1211,209562
3d,4/04/19,Smite,12213900,756480,4972,326,3255,2827,175,16.15,3226,173863
3d,4/04/19,Heroes of the Storm,12062580,492240,7588,194,1905,2792,113,24.51,1723,253589
3d,4/04/19,Totally Accurate Battle Simulator,11487240,33600,33236,22,298,2659,7,341.88,1282,115853
3d,4/07/19,League of Legends,6.23E+08,11993820,357189,3913,44945,144328,2776,51.99,151759,12745089
3d,4/07/19,Grand Theft Auto V,5.74E+08,4174200,238651,1704,15313,132938,966,137.58,263639,9036822
3d,4/07/19,Fortnite,5.64E+08,48772200,298431,21968,218933,130616,11289,11.57,537816,9543155
3d,4/07/19,Just Chatting,3.71E+08,5333820,163523,1795,32191,85919,1234,69.59,172260,9910444
3d,4/07/19,Overwatch,2.12E+08,4598220,141309,1645,22981,49074,1064,46.1,37354,3415931
3d,4/07/19,Counter-Strike: Global Offensive,2.06E+08,5209740,172049,2295,28235,47704,1205,39.56,71256,5121843
3d,4/07/19,Apex Legends,1.93E+08,14455560,86916,4914,69795,44650,3346,13.34,96485,3587813
3d,4/07/19,Dota 2,1.75E+08,2776020,93144,1085,9794,40599,642,63.18,34660,3553690
3d,4/07/19,Sekiro: Shadows Die Twice,1.48E+08,3597720,76686,1172,20491,34216,832,41.09,24483,3409313
3d,4/07/19,Hearthstone,1.42E+08,868740,98174,303,3985,32832,201,163.27,25782,2894519
3d,4/07/19,PLAYERUNKNOWN'S BATTLEGROUNDS,1.17E+08,5131380,72195,1785,18650,27040,1187,22.77,61288,3569950
3d,4/07/19,FIFA 19,86119140,1638180,71365,753,9239,19934,379,52.57,42637,1457252
3d,4/07/19,Auto Chess,73509300,904080,37442,319,3358,17016,209,81.31,10447,1209253
3d,4/07/19,World of Warcraft,69167700,3789720,28771,2150,13269,16011,877,18.25,20182,2032901
3d,4/07/19,Tom Clancy's The Division 2,51550380,3857820,32467,1719,16319,11932,893,13.36,10147,909327
3d,4/07/19,Tom Clancy's Rainbow Six: Siege,50834100,4492620,34874,1712,25727,11767,1039,11.32,33189,1066274
3d,4/07/19,Dead by Daylight,50578980,2497320,18563,881,11293,11708,578,20.25,16357,912764
3d,4/07/19,Call of Duty: Black Ops 4,50202720,5292540,71490,2195,23643,11621,1225,9.49,28742,526587
3d,4/07/19,Twitch Presents,38084280,25920,20118,7,7,8815,6,1469.3,7806,3585535
3d,4/07/19,Magic: The Gathering,35510400,571860,16830,203,2447,8220,132,62.1,7341,580003
3d,4/07/19,Minecraft,32287800,2265000,17388,971,11395,7474,524,14.26,22153,627359
3d,4/07/19,Risk of Rain 2,30993420,1454280,21082,637,7125,7174,336,21.31,4487,537207
3d,4/07/19,Slots,29578200,237960,23249,94,533,6846,55,124.3,3976,235714
3d,4/07/19,Path of Exile,29336160,1259040,11017,412,3712,6790,291,23.3,4742,474300
3d,4/07/19,StarCraft II,29223240,414900,29301,143,1673,6764,96,70.43,4040,642254
3d,4/07/19,Old School RuneScape,28785360,725700,12273,273,2381,6663,167,39.67,10062,368743
3d,4/07/19,Rocket League,28334820,1563180,51618,608,12424,6558,361,18.13,16291,782315
3d,4/07/19,Art,26068800,1673040,11774,582,7126,6034,387,15.58,18835,745858
3d,4/07/19,Borderlands,25194720,1355160,17973,834,5808,5832,313,18.59,6304,480674
3d,4/07/19,Music & Performing Arts,25024080,1412940,16623,425,3380,5792,327,17.71,11484,667617
3d,4/07/19,Talk Shows & Podcasts,24328140,460920,30640,162,2388,5631,106,52.78,5553,1384039
3d,4/07/19,Poker,24123480,318360,19186,135,899,5584,73,75.77,6022,601973
3d,4/07/19,Dungeons & Dragons,22552800,255780,66686,206,1118,5220,59,88.17,3097,326791
3d,4/07/19,Outward,22289760,507240,23008,203,1766,5159,117,43.94,2998,597682
3d,4/07/19,Tropico 6,21336240,244200,18727,99,903,4938,56,87.37,1982,456470
3d,4/07/19,Enter the Gungeon,20299860,300120,28321,178,1589,4699,69,67.64,2162,308614
3d,4/07/19,World of Tanks,20254560,808440,14132,384,2744,4688,187,25.05,4118,431861
3d,4/07/19,NBA 2K19,19050120,1409040,15311,671,7510,4409,326,13.52,11498,1058508
3d,4/07/19,Destiny 2,16983840,1708680,6273,737,6711,3931,395,9.94,7799,246569
3d,4/07/19,MLB The Show 19,16382640,244920,11779,127,2260,3792,56,66.89,4974,204188
3d,4/07/19,ASMR,16181580,212160,7621,66,318,3745,49,76.27,5071,178628
3d,4/07/19,The Elder Scrolls Online,15728880,563940,10693,208,1948,3640,130,27.89,4535,233243
3d,4/07/19,Black Desert Online,15568560,809820,7387,255,2348,3603,187,19.22,4860,382356
3d,4/07/19,Super Smash Bros. Ultimate,13983180,638820,10528,326,3006,3236,147,21.89,7225,200383
3d,4/07/19,Warcraft III: The Frozen Throne,13867620,237300,29552,86,707,3210,54,58.44,1713,231664
3d,4/07/19,Battlefield V,13849980,999000,21865,424,7808,3206,231,13.86,5278,291971
3d,4/07/19,My Summer Car,13808280,17940,17060,12,95,3196,4,769.69,790,186901
3d,4/07/19,Escape From Tarkov,13545780,819600,8271,319,2954,3135,189,16.53,4083,259019
3d,4/07/19,Monopoly Plus,13407240,26400,64551,23,200,3103,6,507.85,7876,148566
3d,4/07/19,Rust,13300680,756840,12179,365,2557,3078,175,17.57,7882,268602
7d,2/24/19,Apex Legends,"1,920,000,000",94358580,386866,14239,305789,190004,9360,20.3,814483,34986812
7d,2/24/19,Fortnite,"1,370,000,000",1.14E+08,658887,20622,354084,135571,11303,11.99,1524606,23910277
7d,2/24/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"249,000,000",10754160,57527,1539,28655,24666,1066,23.12,131752,5662845
7d,2/24/19,Call of Duty: Black Ops 4,"162,000,000",12598020,112710,2229,40525,16078,1249,12.87,85004,2748480
7d,2/25/19,Apex Legends,"1,830,000,000",91704300,386866,14031,298306,181361,9097,19.93,785142,34011807
7d,2/25/19,Fortnite,"1,370,000,000",1.15E+08,658887,20622,360032,136317,11382,11.98,1522777,24069981
7d,2/25/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"243,000,000",10746960,57527,1539,28408,24139,1066,22.64,134662,5698302
7d,2/25/19,Call of Duty: Black Ops 4,"173,000,000",12862920,112710,2232,41010,17183,1276,13.47,91416,3052877
7d,2/22/19,Apex Legends,"2,030,000,000",########,386866,15299,324902,201722,9867,20.44,839416,36617730
7d,2/22/19,Fortnite,"1,260,000,000",########,296970,19937,352570,125157,11145,11.23,1279967,19773269
7d,2/22/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"244,000,000",########,57527,1499,28959,24159,1058,22.83,123498,5435860
7d,2/22/19,Call of Duty: Black Ops 4,"149,000,000",########,112710,2111,39725,14737,1184,12.44,76433,2529282
7d,2/26/19,Apex Legends,"1,750,000,000",88053720,386866,14031,288838,173306,8735,19.84,749671,32737736
7d,2/26/19,Fortnite,"1,360,000,000",1.10E+08,658887,20622,352040,134609,10873,12.38,1458644,23439976
7d,2/26/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"246,000,000",10712340,58670,1539,28437,24408,1062,22.97,136418,5666178
7d,2/26/19,Call of Duty: Black Ops 4,"180,000,000",12845520,112710,2232,40872,17902,1274,14.05,95168,3120408
7d,2/27/19,Apex Legends,"1,650,000,000",85461360,343454,13818,281169,163794,8478,19.32,683706,30000626
7d,2/27/19,Fortnite,"1,330,000,000",1.08E+08,658887,20622,350155,131772,10704,12.31,1421300,23045158
7d,2/27/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"258,000,000",10744200,65529,1539,28484,25598,1065,24.02,143015,5914713
7d,2/27/19,Call of Duty: Black Ops 4,"191,000,000",12926700,112710,2232,40999,18971,1282,14.79,91131,3350671
7d,2/28/19,Apex Legends,"1,570,000,000",82250880,261986,13818,270872,155986,8159,19.12,659035,28803937
7d,2/28/19,Fortnite,"1,320,000,000",1.05E+08,658887,20622,346074,130671,10440,12.52,1395177,22885573
7d,2/28/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"265,000,000",10521660,65529,1539,28347,26307,1043,25.2,145003,6291006
7d,2/28/19,Call of Duty: Black Ops 4,"207,000,000",12871800,141895,2232,40956,20537,1276,16.08,92392,4305614
7d,3/01/19,Apex Legends,"1,500,000,000",79526340,253109,12238,261204,148737,7889,18.85,621926,27558472
7d,3/01/19,Fortnite,"1,410,000,000",1.07E+08,658887,20622,350484,139666,10633,13.13,1433185,24906961
7d,3/01/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"263,000,000",10517820,65529,1539,28106,26135,1043,25.05,144061,6459562
7d,3/01/19,Call of Duty: Black Ops 4,"212,000,000",12693540,141895,2232,40467,20998,1259,16.68,90164,4529990
7d,3/03/19,Fortnite,"1,460,000,000",1.09E+08,350912,22269,359455,145010,10860,13.35,1279181,24384815
7d,3/03/19,Apex Legends,"1,370,000,000",73914600,253109,11718,244269,136134,7332,18.57,549058,26236466
7d,3/03/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"261,000,000",10475640,65529,1445,28026,25850,1039,24.87,140866,6681442
7d,3/03/19,Call of Duty: Black Ops 4,"211,000,000",12313440,141895,2232,40076,20897,1221,17.11,86788,4586391
7d,3/04/19,Fortnite,"1,500,000,000",1.11E+08,424746,22269,362835,148853,10976,13.56,1287808,24890447
7d,3/04/19,Apex Legends,"1,330,000,000",71415660,253109,11316,236223,132337,7084,18.68,527482,25008557
7d,3/04/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"260,000,000",10525500,65529,1503,28068,25785,1044,24.69,138568,6689420
7d,3/04/19,Call of Duty: Black Ops 4,"203,000,000",12219840,141895,2210,39933,20110,1212,16.59,81183,4429968
7d,3/05/19,Fortnite,"1,490,000,000",1.13E+08,424746,22269,369027,147831,11195,13.2,1330320,24472286
7d,3/05/19,Apex Legends,"1,280,000,000",69933540,228830,11316,231348,127227,6937,18.34,514207,23506011
7d,3/05/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"263,000,000",10542420,65609,1503,28040,26131,1045,24.98,137429,6863489
7d,3/05/19,Call of Duty: Black Ops 4,"197,000,000",12237600,141895,2210,40060,19573,1214,16.12,77404,4365614
7d,3/06/19,Fortnite,"1,520,000,000",1.14E+08,424746,22269,373341,150423,11338,13.27,1391415,24771397
7d,3/06/19,Apex Legends,"1,220,000,000",68285520,228830,10807,226597,120947,6774,17.85,539564,22525841
7d,3/06/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"266,000,000",10539960,80497,1503,28022,26356,1045,25.21,137067,7219484
7d,3/06/19,Call of Duty: Black Ops 4,"177,000,000",12149640,141895,2210,39992,17532,1205,14.55,75667,3960208
7d,3/07/19,Fortnite,"1,520,000,000",1.14E+08,424746,22269,373341,150423,11338,13.27,1391415,24771397
7d,3/07/19,Apex Legends,"1,220,000,000",68285520,228830,10807,226597,120947,6774,17.85,539564,22525841
7d,3/07/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"266,000,000",10539960,80497,1503,28022,26356,1045,25.21,137067,7219484
7d,3/07/19,Call of Duty: Black Ops 4,"177,000,000",12149640,141895,2210,39992,17532,1205,14.55,75667,3960208
7d,3/08/19,Fortnite,"1,520,000,000",1.14E+08,424746,22269,373341,150423,11338,13.27,1391415,24771397
7d,3/08/19,Apex Legends,"1,220,000,000",68285520,228830,10807,226597,120947,6774,17.85,539564,22525841
